teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
1415,ostrołęcki,88497,33242,37.562855238030664
1416,ostrowski,71790,31506,43.886335144170495
1417,otwocki,124283,71975,57.91218428908218
1418,piaseczyński,190606,121855,63.93030649612289
1419,płocki,110742,54387,49.11144823102346
1420,płoński,86671,42083,48.55487994831027
1421,pruszkowski,166679,108153,64.8869983621212
1422,przasnyski,52101,23908,45.887794859983494
1423,przysuski,41126,20204,49.127072897923455
1424,pułtuski,51741,25966,50.18457316248236
1425,radomski,152190,63357,41.630199093238716
1426,siedlecki,81385,29249,35.93905510843521
1427,sierpecki,51534,24811,48.14491403733457
1428,sochaczewski,84804,44180,52.09659921701807
1429,sokołowski,53294,25157,47.204188088715426
1430,szydłowiecki,39340,16156,41.06761565836299
1432,warszawski zachodni,120144,74863,62.31106006125982
1433,węgrowski,65410,30010,45.87983488763186
1434,wołomiński,252408,133867,53.035957655858766
1435,wyszkowski,74210,35090,47.28473251583345
1436,zwoleński,35875,14494,40.40139372822299
1437,żuromiński,38202,19506,51.060153918643
1438,żyrardowski,75370,38736,51.394454026801114
1461,Ostrołęka,51656,25437,49.24306953693666
1462,Płock,118268,68080,57.56417627760679
1463,Radom,209296,107114,51.178235608898405
1464,Siedlce,77813,35541,45.67488722964029
1465,Warszawa,1794166,1248236,69.57193481539612
1601,brzeski,89282,41104,46.038395197240206
1602,głubczycki,45015,20839,46.29345773631012
1603,kędzierzyńsko-kozielski,93001,43238,46.4919732045892
1604,kluczborski,65026,29941,46.04465905945314
1605,krapkowicki,63196,27650,43.752769162605226
1606,namysłowski,42543,20395,47.939731565709984
1607,nyski,134864,66871,49.584025388539565
1608,oleski,63788,25935,40.65811751426601
1609,opolski,123532,53726,43.491564938639385
1610,prudnicki,54765,23156,42.282479685930795
1611,strzelecki,73923,32939,44.55852711605319
1661,Opole,127839,73695,57.64672752446437
1801,bieszczadzki,21489,8070,37.55409744520452
1802,brzozowski,65373,22216,33.98344882443822
1803,dębicki,134991,49700,36.81726929943478
1804,jarosławski,119727,46543,38.874272302822256
1805,jasielski,112863,41487,36.75872518008559
1806,kolbuszowski,62039,17520,28.240300456164668
1807,krośnieński,111905,39395,35.20396765113266
1808,leżajski,68996,23671,34.307785958606296
1809,lubaczowski,54711,22512,41.14711849536656
1810,łańcucki,81226,32432,39.92810183931253
1811,mielecki,136441,54707,40.0957190287377
1812,niżański,66221,21176,31.977771401821176
1813,przemyski,73919,27742,37.53026961944831
1814,przeworski,77979,29931,38.38341091832416
1815,ropczycko-sędziszowski,74573,23252,31.180185858152417
1816,rzeszowski,170550,64104,37.58663148636764
1817,sanocki,93818,35035,37.34358012321729
1818,stalowowolski,105431,39776,37.72704422797849
1819,strzyżowski,61161,20446,33.429800035970636
1820,tarnobrzeski,52720,19854,37.659332321699544
1821,leski,26375,9733,36.90236966824644
1861,Krosno,45944,20536,44.697893087236636
1862,Przemyśl,59779,28876,48.304588567891734
1863,Rzeszów,196638,97887,49.78030695999756
1864,Tarnobrzeg,46360,24208,52.21742881794651
2001,augustowski,57651,23188,40.22133180690708
2002,białostocki,150845,64110,42.50058006563028
2003,bielski,53695,21397,39.849147965359904
2004,grajewski,46792,15762,33.68524534108395
2005,hajnowski,41991,16980,40.437236550689434
2006,kolneński,37887,12816,33.82690632670837
2007,łomżyński,50819,17299,34.040417953914876
2008,moniecki,40070,14018,34.98377838782131
2009,sejneński,19689,8171,41.50033013357712
2010,siemiatycki,43618,16031,36.753175294603146
2011,sokólski,65883,28725,43.600018214106825
2012,suwalski,35577,13388,37.63105377069455
2013,wysokomazowiecki,56408,23327,41.35406325343923
2014,zambrowski,43191,17356,40.18429765460397
2061,Białystok,296958,148707,50.07677853433818
2062,Łomża,62573,27575,44.068527959343484
2063,Suwałki,69639,30944,44.43487126466491
2201,bytowski,79114,36398,46.007027833253275
2202,chojnicki,97661,47852,48.99806473413133
2203,człuchowski,55835,27876,49.92567386048178
2204,gdański,120327,67454,56.058906147414966
2205,kartuski,141892,65218,45.96312688523666
2206,kościerski,72923,35800,49.09287878995653
2207,kwidzyński,82963,37904,45.68783674650145
2208,lęborski,66083,32635,49.38486448859767
2209,malborski,63204,34053,53.87791911904309
2210,nowodworski,35438,17976,50.725210226310736
2211,pucki,87568,47261,53.97062854010597
2212,słupski,98832,48048,48.61583292860612
2213,starogardzki,128210,60192,46.94797597691288
2214,tczewski,115220,60759,52.73303245964242
2215,wejherowski,219457,109693,49.98382371033961
2216,sztumski,41104,21036,51.1775009731413
2261,Gdańsk,470805,307473,65.30793003472776
2262,Gdynia,244969,154537,63.08430862680584
2263,Słupsk,89780,51044,56.854533303631094
2264,Sopot,35286,22112,62.66507963498271
2401,będziński,147259,86374,58.65447952247401
2402,bielski,166348,89746,53.95075384134466
2403,cieszyński,177536,86216,48.562545061283345
2404,częstochowski,134106,67711,50.490656644743716
2405,gliwicki,115416,59140,51.240729188327435
2406,kłobucki,84330,41798,49.564804933001305
