teryt,municipality,%_vaccinated
2404013,gm.m-w. Blachownia,52.5368
801011,Kostrzyn nad Odrą,52.5362
3020063,gm.m-w. Pleszew,52.5172
1434011,Kobyłka,52.5071
1405062,gm.w Żabia Wola,52.5038
2408052,gm.w Wyry,52.5
2819033,gm.m-w. Węgorzewo,52.4783
3216042,gm.w Rąbino,52.4707
1208032,gm.w Kozłów,52.4687
804011,Nowa Sól,52.46
1020092,gm.w Zgierz,52.4588
616052,gm.w Stężyca,52.4388
411032,gm.w Dobre,52.4358
809063,gm.m-w. Sulechów,52.4303
1201011,Bochnia,52.4295
2408011,Łaziska Górne,52.4266
3003042,gm.w Kiszkowo,52.4132
2206011,Kościerzyna,52.4056
403043,gm.m-w. Koronowo,52.4037
405011,Golub-Dobrzyń,52.4009
1020083,gm.m-w. Stryków,52.3855
415011,Chełmża,52.3813
1006082,gm.w Nowosolna,52.3745
226021,Złotoryja,52.3669
2814112,gm.w Stawiguda,52.3652
2802011,Braniewo,52.3624
411062,gm.w Radziejów,52.3624
2463011,Chorzów,52.3623
221063,gm.m-w. Mieroszów,52.3231
801042,gm.w Kłodawa,52.2979
1420021,Raciąż,52.2779
407022,gm.w Dąbrowa Biskupia,52.2576
2409042,gm.w Poraj,52.2454
2211011,Hel,52.2416
1203053,gm.m-w. Trzebinia,52.2404
3019032,gm.w Kaczory,52.239
1012011,Radomsko,52.2193
3030043,gm.m-w. Pyzdry,52.1929
1006073,gm.m-w. Koluszki,52.1916
1011033,gm.m-w. Poddębice,52.1827
2210052,gm.w Sztutowo,52.1811
418123,gm.m-w. Lubraniec,52.1786
2410053,gm.m-w. Pszczyna,52.1591
3211022,gm.w Kołbaskowo,52.155
1208012,gm.w Charsznica,52.1215
1006022,gm.w Andrespol,52.1004
2204062,gm.w Pszczółki,52.1003
3214023,gm.m-w. Chociwel,52.0844
3023052,gm.w Powidz,52.069
1018073,gm.m-w. Wieruszów,52.0516
3001043,gm.m-w. Margonin,52.0459
3215011,Szczecinek,52.0401
2416032,gm.w Irządze,52.0357
3026043,gm.m-w. Śrem,52.0267
3005032,gm.w Kamieniec,52.0163
2602042,gm.w Nagłowice,52.0033
3010032,gm.w Kazimierz Biskupi,51.992
2608043,gm.m-w. Pińczów,51.9898
811092,gm.w Tuplice,51.9854
1416092,gm.w Szulborze Wielkie,51.9632
2417022,gm.w Czernichów,51.9586
2406013,gm.m-w. Kłobuck,51.9418
1203022,gm.w Babice,51.9375
3003053,gm.m-w. Kłecko,51.9311
2814042,gm.w Dywity,51.9309
2610011,Skarżysko-Kamienna,51.9227
2215011,Reda,51.919
3014022,gm.w Kwilcz,51.9053
3024022,gm.w Duszniki,51.9011
217043,gm.m-w. Strzelin,51.8978
3015032,gm.w Miedzichowo,51.8865
209052,gm.w Legnickie Pole,51.8762
3061011,Kalisz,51.8758
2202011,Chojnice,51.8703
3025012,gm.w Dominowo,51.8553
3202042,gm.w Krzęcin,51.8498
207033,gm.m-w. Lubawka,51.845
1203043,gm.m-w. Libiąż,51.8432
419052,gm.w Rogowo,51.8377
3024063,gm.m-w. Pniewy,51.8231
2602052,gm.w Oksa,51.82
1219043,gm.m-w. Niepołomice,51.8186
408011,Lipno,51.8168
3204023,gm.m-w. Goleniów,51.8111
803053,gm.m-w. Skwierzyna,51.8078
1602022,gm.w Branice,51.7837
211011,Lubin,51.7696
210021,Świeradów-Zdrój,51.7647
2405042,gm.w Pilchowice,51.7548
